# ContigOrdering file.  This file represents a ContigOrdering object, which describes an ordering of contigs within a Proximo cluster.
# See ContigOrdering.h for more documentation.
#
# Important numbers:
#	N_contigs	1057	(Number of contigs in the input cluster)
#	N_contigs_used	1057	(Number of contigs ordered by this ordering)
#	has_Q_scores	1	(Boolean: has orientation quality scores?)
#	has_gaps	0	(Boolean: have gap sizes between contigs been estimated?)
#
# Columns:
#contig_ID(local)	contig_name	contig_rc	orientation_Q_score	gap_size_after_contig
444	516906	1	62.7747	.
55	235074	0	2.04203	.
4	431	0	117.524	.
81	317157	0	0.0701266	.
695	2045739	1	2.13269	.
694	2045738	1	0.903838	.
104	433099	0	3.8955	.
772	3107057	0	21.2272	.
788	3352735	0	6.11962	.
789	3352739	0	3.3866	.
771	3107053	0	0.316942	.
313	504043	1	20.6067	.
470	518368	1	53.5906	.
848	4850782	0	0.41897	.
847	4850780	0	2.17874	.
936	6809067	0	0.832866	.
28	1126	1	370.22	.
404	512888	0	89.8222	.
923	6640482	0	0.13664	.
388	511605	1	39.1753	.
94	375615	0	11.0299	.
460	517901	0	125.878	.
856	5249413	1	2.95093	.
861	5460847	1	2.28255	.
888	6310148	1	12.6171	.
891	6310804	1	10.5052	.
889	6310150	1	0.23703	.
164	469433	1	0.611497	.
890	6310803	1	15.3337	.
3	368	0	5.63544	.
91	372401	0	12.5485	.
298	502539	1	134.341	.
296	502527	0	146.307	.
251	495496	0	215.321	.
967	7038395	0	132.239	.
966	7038394	0	72.0602	.
337	507329	1	26.8733	.
456	517531	0	148.204	.
180	479304	1	102.594	.
267	496760	0	10.7563	.
33	1175	0	235.292	.
138	446671	0	115.686	.
206	485931	0	183.097	.
238	492271	1	20.2734	.
718	2427437	1	3.63049	.
712	2356259	1	0.397084	.
719	2427513	1	3.08108	.
711	2356252	1	2.81649	.
66	283705	0	4.74232	.
131	445911	0	0.356091	.
415	514029	1	75.6576	.
289	501187	1	0.555113	.
34	1195	0	26.4352	.
378	510652	0	2.66448	.
899	6448897	0	0	.
905	6502519	1	5.0539	.
327	505959	0	6.42087	.
105	433120	0	6.18355	.
565	804261	0	0	.
830	4262432	1	5.39285	.
722	2452113	0	2.53048	.
764	2930888	1	6.41227	.
51	1668	1	153.96	.
351	508745	1	146.668	.
190	483056	0	12.98	.
502	520313	1	121.221	.
647	1407399	0	19.0107	.
662	1604488	0	8.66479	.
663	1604501	0	7.78087	.
590	1001621	0	0	.
98	377347	1	43.2865	.
18	740	0	27.9586	.
262	496332	0	10.0309	.
207	486133	0	19.1177	.
436	516626	1	41.2236	.
758	2830860	1	3.9118	.
759	2830861	1	1.90923	.
469	518291	0	7.37155	.
684	1912134	1	1.63574	.
291	501701	0	47.716	.
272	497993	0	29.6847	.
685	1912135	0	0.219438	.
734	2621013	0	0	.
860	5384201	1	7.08443	.
862	5651974	1	18.2282	.
859	5384170	0	10.9424	.
863	5652005	0	9.06518	.
462	517978	0	119.154	.
316	504233	0	56.4079	.
912	6566290	0	2.3861	.
698	2093214	0	2.15548	.
548	759126	1	7.85428	.
50	1614	1	34.9552	.
329	506137	0	64.2586	.
549	759127	0	0	.
569	866314	0	0.622995	.
773	3155496	0	5.94366	.
439	516745	0	26.7894	.
184	482715	0	96.3334	.
783	3227413	0	1.69213	.
676	1831653	0	9.25636	.
679	1833172	0	5.74219	.
677	1831670	1	18.58	.
678	1833155	1	22.7801	.
715	2392305	0	17.0579	.
739	2705355	0	14.6695	.
714	2392283	1	11.3637	.
740	2705357	1	14.7899	.
359	509217	0	229.216	.
47	1521	1	191.842	.
53	1770	0	0	.
597	1049458	0	2.58432	.
599	1049534	1	21.3406	.
63	282099	0	34.3356	.
57	272535	1	63.2891	.
274	498120	0	92.0902	.
58	274361	1	74.5761	.
464	518082	1	130.817	.
523	641666	0	9.40071	.
524	641667	0	12.3215	.
61	278675	0	0	.
62	281692	0	0	.
114	441405	1	31.7946	.
64	282238	0	26.0746	.
468	518268	1	36.2257	.
619	1154006	0	7.82795	.
643	1399194	1	2.32377	.
908	6506824	1	2.57224	.
909	6507085	1	15.8901	.
427	515698	0	60.4766	.
68	284281	1	127.799	.
73	289115	0	0	.
664	1633877	1	7.36233	.
78	305312	1	0.533445	.
680	1869405	0	3.88866	.
